Title,Price,Address,Bathroom,Room,Furnished,Pet Allowed
Logement,$1195.00, H2G3B1 Montreal QC Canada,1,Unknown,Non,Oui
Cherche une coloc pour une chambre pour un 4 1/2 dans NDG,$500.00,Benny Crescent Montreal QC H4B 2R1 Canada,Unknown,Unknown,Oui,Non
Appartement 4 1/2 à louer Plateau * Rénové * Électros * Dispo *,$1449.00,4563 Rue de la Roche Montréal QC H2J 3J5 Canada,1,Unknown,Non,Non
BUREAU À SAINT LAUREANT MÉTRO CÔTE VERTU,$335.00,1622 Barré Saint Laurent QC H4L 4M8,Unknown,Unknown,Non,Unknown
NEW DOWNTOWN CONDO NEUF CENTRE-VILLE ATWATER GUY-CONCORDIA,$1520.00,2000 Boulevard René-Lévesque O Montréal QC H3H 1R6 Canada,1,Unknown,Oui,Limité
Chambre à louer DÉCEMBRE,$300.00,H2H 1W1 Canada,Unknown,Unknown,Oui,Non
Échange/Swap : grand 6 1/2 Villeray recherche 51/2+,$1200.00,8520 Avenue Casgrain Montréal QC H2P 2K9 Canada,1,Unknown,Non,Limité
Tight budget? Share a room and save cash/Full time student only,$200.00, Verdun H4G 2P5 QC Canada,Unknown,Unknown,Oui,Non
All Inclusive Room in Beautiful Victorian Home Jan 1st,$695.00,Montreal QC Canada H3H 1L1,Unknown,Unknown,Oui,Non
Très beau 4 1/2 à Vimont Laval,$810.00,Montreal QC H1N 1K9 Canada,1,Unknown,Non,Limité
Recherché :I need a room/apartment ASAP,$Surdemande,Montreal QC H3H 2K2 Canada,Unknown,Unknown,Non,Non
Grand 5 1/2 rénové - très modern style condo avec cour,$1750.00,5666 Rue Mennereuil Saint-Léonard QC H1S Canada,2,Unknown,Non,Non
Recherche une chambre Ou 1/2,$Échange,Boulevard Marcel-Laurin Montréal QC Canada H4M2M1,Unknown,Unknown,Oui,Non
logement à louer plateau mont royal,$1700.00,H2J Canada,1,1 chambre et salon,Oui,Non
Near Metro Monk room for rent. All included. s,$760.00,6625 Rue Dumas Montréal QC H4E 3A1 Canada,1,1,Oui,Non
Petite Chambre a louer 175 $ par semaine,$175.00, NDG H3W2H4 QC Canada,2,1,Oui,Non
Comfortable apartment with parking in Saint-Henri for Dec 15,$1420.00, Montreal H4C 2W5 QC Canada,1,Unknown,Non,Limité
Sunny bright super clean 3rd floor to share all incl. Plateau,$750.00,ST DOMINIQUE STREET MONTREAL H2W2B2 QC,Unknown,Unknown,Oui,Non
Chambre a louer 5 min du metro Villa Maria,$650.00,Chemin de la Côte-Saint-Luc Montréal QC Canada,Unknown,Unknown,Oui,Non
Available Studio Apartment from 1st Dec,$580.00,H3S1J1 Canada,Unknown,Unknown,Non,Unknown
5 1/2 à louer st-michel proche du métro tout inclus!,$1400.00,8656 14e Avenue Montréal QC H1Z 3M5 Canada,1,Unknown,Non,Limité
AVAILABLE Jan1 Private Room for 1 Male Long Term in Montreal NDG,$500.00, Montreal H4b 1l9 QC Canada,Unknown,Unknown,Non,Non
Mile-end ~ outremont ~ Plateau Apartment,$2400.00,6106 Rue Hutchison Outremont QC H2V 4C2 Canada,1,Unknown,Non,Oui
PLATEAU MT-ROYAL GRAND LUMINEUX 3CH 2SDB,$Surdemande,Rue Parthenais Montréal QC H2H 2G7 Canada,2,Unknown,Oui,Non
Jolie Studio Meublé 3 min du métro station Vendôme pour JANVIER*,$900.00,2091 Boulevard Décarie Montréal QC H4A 3J2 Canada,1,Studio,Unknown,Non
Super 4-1/2 Côte-Saint-Luc / Cavendish,$1050.00,5510 Robinson Côte Saint-Luc QC H4V 2P5,1,Unknown,Non,Non
For to rent Downtown Centre Ville Studio 21/2 bachelor McGill,$1450.00,1750 cedar Montreal QC H3G 1A3,1,Unknown,Non,Non
